listing_id,avg_price,median_price,min_date,max_date,n_observations,n_unique_dates,season_high
32443120,512.3974353846154,529.0,2025-02-25,2025-03-09,13,13,512.3974353846154
32486859,911.2829457364342,899.0,2025-01-10,2025-04-16,129,51,911.2829457364342
32585103,449.6962962962963,600.0,2025-01-28,2025-04-15,135,57,449.6962962962963
32592683,1149.5551181102362,1000.0,2025-01-22,2025-04-20,127,56,1149.5551181102362
32600458,590.5906664,511.1111,2025-01-19,2025-04-16,125,53,590.5906664
32606991,577.372340212766,550.83335,2025-01-24,2025-04-20,188,77,577.372340212766
3263701,1533.3333333333333,1650.0,2025-02-08,2025-04-10,48,26,1533.3333333333333
32697747,361.99803882352944,350.0,2025-01-29,2025-04-07,34,34,361.99803882352944
32766950,320.8333333333333,300.0,2025-01-21,2025-04-20,48,48,320.8333333333333
32990586,1008.7724360576923,1026.0,2025-01-26,2025-04-20,208,85,1008.7724360576923
33336758,454.379539009901,452.0,2025-02-12,2025-04-06,101,36,454.379539009901
34218930,760.988831292517,628.5,2025-01-27,2025-04-19,147,58,760.988831292517
34540951,605.4028571428571,558.0,2025-01-30,2025-04-20,175,70,605.4028571428571
34866449,485.58734939759034,400.0,2025-01-18,2025-04-20,166,74,485.58734939759034
35481220,754.5026611894274,700.0,2025-01-07,2025-03-31,227,84,754.5026611894274
35826155,590.0,590.0,2025-04-01,2025-04-20,20,20,590.0
35912580,327.8157894736842,350.0,2025-03-05,2025-04-20,38,38,327.8157894736842
35934720,500.0,500.0,2025-02-28,2025-03-09,10,10,500.0
36032020,598.8,550.0,2025-02-20,2025-04-15,50,25,598.8
36632832,576.9188481675393,450.0,2025-01-15,2025-04-20,191,74,576.9188481675393
36698654,1964.5949367088608,1900.0,2025-01-18,2025-04-06,79,79,1964.5949367088608
36908385,650.016129032258,455.0,2025-02-15,2025-03-31,62,27,650.016129032258
37118794,993.1920529801324,1000.0,2025-02-08,2025-04-20,151,62,993.1920529801324
37153670,386.8018867924528,400.0,2025-01-25,2025-04-19,53,53,386.8018867924528
37347085,492.7219917012448,492.0,2025-01-19,2025-04-20,241,90,492.7219917012448
37487828,467.359649122807,380.0,2025-01-15,2025-04-20,114,49,467.359649122807
37494985,890.382955,900.0,2025-01-16,2025-04-20,220,84,890.382955
37708447,791.24,700.0,2025-02-16,2025-04-20,100,44,791.24
37744392,720.9746835443038,680.0,2025-01-19,2025-04-07,79,79,720.9746835443038
37989675,418.4761904761905,400.0,2025-01-30,2025-04-20,63,63,418.4761904761905
